id,create_date,write_uid,create_uid,message_last_post,ref,write_date,product_id,name,product_uom_id,life_date,removal_date,alert_date,use_date,origin,variety,brand
43,7/11/18 14:35,1,9,,,11/15/18 17:14,448,28/2/19,3,,2/28/19 20:20,,,,,
288,7/31/18 19:12,9,9,,,2/28/19 20:04,452,15/7/19,3,,7/15/19 19:12,,,,,
723,10/22/18 12:53,9,9,,,2/28/19 20:04,452,5/9/2019,3,,9/5/19 12:52,,,,,
1093,12/20/18 15:52,8,8,,,3/11/19 20:10,227,E 30/5/19,21,6/18/2019 15:51,5/30/19 3:00,,,,,
240,7/27/18 20:01,1,9,,,12/27/18 18:59,448,15/7/19,3,,7/15/19 20:01,,,,,
612,9/27/18 14:57,1,9,,AI-JGM-2018-0092,2/28/19 20:11,448,30/6/19,3,,6/30/19 14:57,,,,,
1095,12/20/18 15:59,8,8,,,3/11/19 20:20,211,E 30/5/19,21,6/18/2019 15:58,5/30/19 3:00,,,,,
1257,2/5/19 17:44,8,8,,,3/11/19 20:10,227,R 15/7/19,21,8/4/2019 17:43,7/15/19 3:00,,,,,
185,7/16/18 19:31,9,9,,,1/25/21 12:37,427,31/8/18,3,,8/31/18 20:22,,,,,
1373,2/28/19 20:03,9,9,,Recepción 19/2/19.,2/28/19 20:04,452,19/2/20,3,,2/19/20 20:03,,,,,
1375,2/28/19 20:04,1,9,,Recepción 19/2/19.,2/28/19 20:07,452,19/02/20,3,,2/19/20 20:04,,,,,
1256,2/5/19 17:42,8,8,,,3/11/19 20:10,227,A 15/7/19,21,8/4/2019 17:41,7/15/19 3:00,,,,,
1418,3/11/19 20:10,1,8,,,3/11/19 20:12,227,R 30/7/19,21,9/7/2019 20:10,7/30/19 20:10,,,,,
47,7/11/18 14:37,1,9,,Lote: 180512.,8/14/19 15:32,459,11/6/2019,3,,6/11/19 14:37,,,,,
2833,10/15/19 13:11,8,8,,lote 1019 elab 09/19,2/17/20 14:52,466,30/09/20,3,,9/30/20 3:00,,,,,
234,7/27/18 19:56,8,9,,Lote N° ECPA-079/17,5/18/20 13:18,435,15/11/19,3,,11/16/19 19:56,,,,,
2084,6/28/19 17:21,9,9,,,9/8/20 17:17,264,20/10/19 L.01,1,12/25/2019 17:21,10/20/19 17:21,,,,,
3461,1/28/20 12:59,9,9,,,3/5/21 13:20,222,M 18/7/20,22,7/26/2020 12:59,7/18/20 3:00,,,,,
76,7/11/18 15:52,9,9,,,3/9/20 19:44,272,20/10/18 L.01,1,,10/20/18 15:52,,,,,
6,7/10/18 18:38,8,9,,,8/20/20 12:28,446,10/7/2019,3,,7/10/19 18:37,,,,,
264,7/27/18 20:42,8,9,,Lote 180418,6/12/20 17:52,437,18/5/19,3,,5/18/19 20:42,,,,,
342,8/9/18 18:04,8,1,,,2/28/20 18:04,244,A-22/12/18,20,2/5/2019 18:04,12/22/18 18:04,,,,,
467,9/10/18 20:25,9,9,,,12/10/19 19:48,267,15/2/19,1,3/9/2019 20:25,2/15/19 20:24,,,,,
108,7/11/18 17:13,8,9,,,1/21/20 18:29,256,30/12/18,1,,12/30/18 17:13,,,,,
150,7/11/18 18:28,9,9,,,1/30/20 12:39,243,A-22/12/18,1,1/7/2019 18:28,12/22/18 18:28,,,,,
4934,9/7/20 12:54,1,8,,lote G-D2-001,3/5/21 18:34,449,30/08/2021,3,,8/30/21 3:00,,,,,
1094,12/20/18 15:56,8,8,,,3/11/19 20:14,219,E 30/5/19,21,6/18/2019 15:55,5/30/19 3:00,,,,,
1260,2/5/19 18:00,8,8,,,3/11/19 20:14,219,R 15/7/19,21,8/4/2019 18:00,7/15/19 3:00,,,,,
