id,create_uid,description,write_uid,create_date,write_date,logo,partner_id,name
1,6,,6,10/13/2020 18:14,10/13/2020 18:14,,,zafrán
2,6,,6,10/13/2020 19:55,10/13/2020 19:55,,,Beepure
4,6,,6,10/13/2020 19:55,10/13/2020 19:55,,,Dell Isola
5,6,,6,10/13/2020 19:57,10/13/2020 19:57,,,Pampa Rice
6,6,,6,10/13/2020 19:57,10/13/2020 19:57,,,zafranito
7,6,,6,10/13/2020 19:58,10/13/2020 19:58,,,Cerealsol
8,6,,6,10/13/2020 19:58,10/13/2020 19:58,,,Pampa Grains
9,6,,6,10/13/2020 19:58,10/13/2020 19:58,,,La esquina de las flores
10,6,,6,10/13/2020 19:58,10/13/2020 19:58,,,Pura Frutta
11,6,,6,10/13/2020 19:59,10/13/2020 19:59,,,Pampa Vida
13,6,,6,10/13/2020 19:59,10/13/2020 19:59,,,Kalena
