id,create_uid,code,create_date,name,write_uid,write_date
1,6,1,11/20/20 18:22,Combo Online,8,4/15/21 19:24
36,6,0,11/20/20 18:24,Maní y cacao,6,11/20/20 18:24
37,6,0,11/20/20 18:24,Manzana y chía,6,11/20/20 18:24
38,6,0,11/20/20 18:24,Cajú y semillas de zapallo,6,11/20/20 18:24
40,6,0,11/20/20 18:24,"Avena, coco y lino",6,11/20/20 18:24
41,6,0,11/20/20 18:24,"Algarroba, pasas y girasol",6,11/20/20 18:24
42,6,0,11/20/20 18:24,"Cacao, maní y café",6,11/20/20 18:24
43,6,0,11/20/20 18:24,"Avena, pasas y chía",6,11/20/20 18:24
48,6,0,11/20/20 18:24,"Cajú, coco y pasas",6,11/20/20 18:24
49,6,0,11/20/20 18:24,"Nueces, manzana y pasas",6,11/20/20 18:24
50,6,0,11/20/20 18:24,"Frutos secos, semillas y miel",6,11/20/20 18:24
54,6,0,11/20/20 18:24,Avellanas y semillas de zapallo,6,11/20/20 18:24
55,6,0,11/20/20 18:24,Almendras peladas,6,11/20/20 18:24
56,6,0,11/20/20 18:24,Castañas de cajú,6,11/20/20 18:24
57,6,0,11/20/20 18:24,Coco en escamas,6,11/20/20 18:24
58,6,0,11/20/20 18:24,Pasas de uva negras,6,11/20/20 18:24
59,6,0,11/20/20 18:24,Semillas de chía,6,11/20/20 18:24
60,6,0,11/20/20 18:24,Semillas de girasol,6,11/20/20 18:24
61,6,0,11/20/20 18:24,Semillas de zapallo,6,11/20/20 18:24
62,6,0,11/20/20 18:24,Almendras y pasas,6,11/20/20 18:24
63,6,0,11/20/20 18:24,"Cajú, arándanos y curry",6,11/20/20 18:24
64,6,0,11/20/20 18:24,Frutos secos y salsa de soja,6,11/20/20 18:24
65,6,0,11/20/20 18:24,Almendras y maní picante,6,11/20/20 18:24
66,6,0,11/20/20 18:24,Vainilla,6,11/20/20 18:24
69,6,0,11/20/20 18:24,Chocolate,6,11/20/20 18:24
70,6,0,12/9/20 19:39,Chocolate y Quinoa,6,12/9/20 19:39
71,6,0,12/9/20 19:40,Arándanos y almendras,6,12/9/20 19:40
72,6,1,1/15/21 12:36,Chocolate cereal,6,1/15/21 12:36
73,6,2,1/15/21 13:24,Canela cereal,6,1/15/21 13:24
74,6,3,1/15/21 13:26,Miel cereal,6,1/15/21 13:26
75,6,,4/28/21 14:09,Almendras,6,4/28/21 14:09
76,6,,4/28/21 14:19,Arroz,6,4/28/21 14:19
