date,observed,trend,seasonal,resid
2018-07-15,7297.1,217209.45912191164,-125698.5855612655,-84213.77356064614
2018-07-22,48605.58999999999,225569.15244460042,-234690.55365600775,57726.99121140732
2018-07-29,0.0,233928.84576728923,-375632.4563020321,141703.61053474288
2018-08-05,0.0,242288.539089978,-117352.68603138952,-124935.85305858849
2018-08-12,0.0,250648.2324126668,-210058.7969145942,-40589.43549807262
2018-08-19,0.0,259007.9257353556,-214100.1036631827,-44907.82207217289
2018-08-26,0.0,267367.6190580444,-294177.816405361,26810.1973473166
2018-09-02,0.0,275727.3123807332,-349450.1128975391,73722.8005168059
2018-09-09,0.0,284087.00570342195,-140854.51596023046,-143232.4897431915
2018-09-16,512611.2700000003,292446.69902611076,306059.4837014375,-85894.91272754793
2018-09-23,391017.40999999986,300806.39234879956,-152612.9536240742,242823.9712752745
2018-09-30,473850.55,309166.0856714883,424756.3734734916,-260071.9091449799
2018-10-07,488108.0999999999,317525.7789941771,105394.77922490292,65187.541780919884
2018-10-14,505336.5200000002,325885.4723168659,64569.42212374982,114881.62555938444
2018-10-21,202129.70000000007,334245.16563955473,142243.07803541748,-274358.54367497214
2018-10-28,416425.66000000003,342604.8589622435,-158939.41528368377,232760.21632144033
2018-11-04,504449.2899999996,350964.5522849323,342142.22453823785,-188657.48682317056
2018-11-11,575434.0200000016,359324.24560762104,39266.590245344,176843.1841470366
2018-11-18,475635.6899999997,367683.93893030984,140705.66721383238,-32753.91614414251
2018-11-25,490469.32999999984,376043.63225299865,171747.7637015523,-57322.0659545511
2018-12-02,263657.21999999986,384403.32557568746,-359750.773624831,239004.6680491434
2018-12-09,944923.5199999994,392763.01889837626,528996.3682795555,23164.13282206771
2018-12-16,466012.6500000001,401122.71222106507,-184416.60340580248,249306.5411847375
2018-12-23,283786.79999999993,409482.4055437538,-11524.898200133855,-114170.70734362003
2018-12-30,109592.29000000001,417842.09886644257,-176616.50174446258,-131633.30712197995
2019-01-06,624937.3800000002,426201.7921891314,-148242.9355131571,346978.52332402597
2019-01-13,223271.59999999971,400759.8527884615,34141.72313234828,-211629.97592081004
2019-01-20,290302.5699999999,412142.2974999999,82994.52877250317,-204834.2562725032
2019-01-27,257834.8999999999,422112.673076923,-58990.34744631777,-105287.42563060533
2019-02-03,478716.7100000005,435049.6764423076,-176900.85645359906,220567.89001129195
2019-02-10,684902.58,449270.4691346153,380100.9035134768,-144468.79264809215
2019-02-17,238707.06000000017,460358.8185576922,243706.38117286234,-465358.1397305544
2019-02-24,416981.78,471696.16,-183049.25549467583,128334.87549467589
2019-03-03,195247.1099999999,483333.6903846153,-60776.11161734282,-227310.46876727263
2019-03-10,607371.0200000003,496697.6073076923,418842.00559332455,-308168.5929010166
2019-03-17,204109.5099999999,506702.608076923,277172.7657206578,-579765.8637975808
2019-03-24,641483.4899999987,513273.51923076913,350836.2458479915,-222626.27507876192
2019-03-31,416002.0600000001,520749.8675961538,-229177.97386441845,124430.16626826476
2019-04-07,875566.9499999972,529675.1379807692,137023.40792958142,208868.4040896466
2019-04-14,1048810.37,537845.9573076923,217511.64113383938,293452.77155846846
2019-04-21,155585.46,549168.2325,48852.66328040485,-442435.43578040495
2019-04-28,377391.01,562767.3470192307,80031.53202953251,-265407.8690487632
2019-05-05,507581.0799999987,579614.2910576921,-326012.59861236584,253979.38755467237
2019-05-12,598222.4600000002,593646.7128846151,38330.85940244949,-33755.11228706435
2019-05-19,282249.32000000007,601827.402884615,-502887.8949244739,183309.81203985895
2019-05-26,547115.5699999997,611122.467307692,-327070.1563667819,263063.2590590896
2019-06-02,538542.8299999998,617496.4487499999,-17714.118337936256,-61239.50041206377
2019-06-09,1092192.119999998,627740.1477884614,515239.4297870633,-50787.45757552667
2019-06-16,475424.45000000007,636779.9330769229,-419984.8492994742,258629.36622255138
2019-06-23,386434.7300000001,640886.601730769,61956.82517167935,-316408.6969024483
2019-06-30,433221.61000000004,646539.6987499999,481709.5309889872,-695027.619738987
2019-07-07,768659.2900000007,657970.1242307691,-77648.3228090893,188337.48857832092
2019-07-14,633906.3300000005,670841.3749038458,-125698.5855612655,88763.5406574202
2019-07-21,605770.6100000002,677605.6624038459,-234690.55365600775,162855.50125216204
2019-07-28,479754.04000000004,684699.9702884614,-375632.4563020321,170686.52601357072
2019-08-04,865694.3100000013,690474.5906730767,-117352.68603138952,292572.40535831416
2019-08-11,613268.1299999999,697309.5909615383,-210058.7969145942,126017.33595305582
2019-08-18,539920.21,717434.0914423075,-214100.1036631827,36586.22222087521
2019-08-25,639163.3000000002,733232.1760576922,-294177.816405361,200108.940347669
2019-09-01,571139.8600000002,739732.7983653843,-349450.1128975391,180857.17453215498
2019-09-08,818707.5,750618.2423076921,-140854.51596023046,208943.7736525384
2019-09-15,734423.8499999995,766753.7637499997,306059.4837014375,-338389.39745143766
2019-09-22,852579.5900000002,779019.6688461534,-152612.9536240742,226172.87477792098
2019-09-29,789828.5999999994,779718.8018269228,424756.3734734916,-414646.575300415
2019-10-06,1100358.170000001,779176.8121153841,105394.77922490292,215786.57865971402
2019-10-13,742851.6599999992,776146.5184615382,64569.42212374982,-97864.28058528886
2019-10-20,1142131.1799999992,771457.9324999998,142243.07803541748,228430.169464582
2019-10-27,890732.0900000002,771831.725480769,-158939.41528368377,277839.77980291506
2019-11-03,1782225.0399999912,770014.3976923075,342142.22453823785,670068.4177694458
2019-11-10,757030.1399999985,772285.341153846,39266.590245344,-54521.791399191505
2019-11-17,1144831.3299999996,777045.3928846153,140705.66721383238,227080.2699015519
2019-11-24,787960.3899999998,776055.7160576922,171747.7637015523,-159843.0897592447
2019-12-01,629060.2300000003,779766.010673077,-359750.773624831,209044.99295175436
2019-12-08,1644865.2100000016,789381.9075961538,528996.3682795555,326486.93412429234
2019-12-15,706208.6300000002,792613.3252884615,-184416.60340580248,98011.9081173412
2019-12-22,470684.35999999987,800930.7023076923,-11524.898200133855,-318721.4441075585
2019-12-29,510616.82000000007,827807.7555769229,-176616.50174446258,-140574.43383246026
2020-01-05,1412677.1,844968.5795192306,-148242.9355131571,715951.4559939266
2020-01-12,774141.95,847912.5389423075,34141.72313234828,-107912.31207465578
2020-01-19,442918.1200000002,851158.4732692305,82994.52877250317,-491234.88204173336
2020-01-26,843027.3700000002,850954.942307692,-58990.34744631777,51062.77513862598
2020-02-02,494084.7599999995,850187.2319230767,-176900.85645359906,-179201.61546947813
2020-02-09,1380374.5599999991,852099.1552884612,380100.9035134768,148174.5011980611
2020-02-16,1636183.1299999994,858013.1688461535,243706.38117286234,534463.5799809835
2020-02-23,662506.5099999997,861554.5333653844,-183049.25549467583,-15998.76787070895
2020-03-01,625787.1000000003,861127.7873076921,-60776.11161734282,-174564.57569034895
2020-03-08,1308917.2000000004,862304.0947115382,418842.00559332455,27771.099695137702
2020-03-15,1180657.559999999,875074.6195192306,277172.7657206578,28410.17476011056
